nav_ig_nev,nav_ig_tarsas,nav_ig_egyeni,megye,jaras
Észak-Budapest,41,41,01,001
Észak-Budapest,41,41,01,002
Észak-Budapest,41,41,01,003
Észak-Budapest,41,41,01,004
Észak-Budapest,41,41,01,005
Kelet-Budapest,42,42,01,006
Kelet-Budapest,42,42,01,007
Kelet-Budapest,42,42,01,008
Dél-Budapest,43,43,01,009
Kelet-Budapest,42,42,01,010
Dél-Budapest,43,43,01,011
Dél-Budapest,43,43,01,012
Észak-Budapest,41,41,01,013
Kelet-Budapest,42,42,01,014
Kelet-Budapest,42,42,01,015
Kelet-Budapest,42,42,01,016
Kelet-Budapest,42,42,01,017
Dél-Budapest,43,43,01,018
Dél-Budapest,43,43,01,019
Dél-Budapest,43,43,01,020
Dél-Budapest,43,43,01,021
Dél-Budapest,43,43,01,022
Dél-Budapest,43,43,01,023
Baranya,02,22,02,024
Baranya,02,22,02,025
Baranya,02,22,02,026
Baranya,02,22,02,027
Baranya,02,22,02,028
Baranya,02,22,02,029
Baranya,02,22,02,030
Baranya,02,22,02,031
Baranya,02,22,02,032
Baranya,02,22,02,033
Bács-Kiskun,03,23,03,034
Bács-Kiskun,03,23,03,035
Bács-Kiskun,03,23,03,036
Bács-Kiskun,03,23,03,037
Bács-Kiskun,03,23,03,038
Bács-Kiskun,03,23,03,039
Bács-Kiskun,03,23,03,040
Bács-Kiskun,03,23,03,041
Bács-Kiskun,03,23,03,042
Bács-Kiskun,03,23,03,043
Bács-Kiskun,03,23,03,044
Békés,04,24,04,045
Békés,04,24,04,046
Békés,04,24,04,047
Békés,04,24,04,048
Békés,04,24,04,049
Békés,04,24,04,050
Békés,04,24,04,051
Békés,04,24,04,052
Békés,04,24,04,053
Borsod-Abaúj-Zemplén,05,25,05,054
Borsod-Abaúj-Zemplén,05,25,05,055
Borsod-Abaúj-Zemplén,05,25,05,056
Borsod-Abaúj-Zemplén,05,25,05,057
Borsod-Abaúj-Zemplén,05,25,05,058
Borsod-Abaúj-Zemplén,05,25,05,059
Borsod-Abaúj-Zemplén,05,25,05,060
Borsod-Abaúj-Zemplén,05,25,05,061
Borsod-Abaúj-Zemplén,05,25,05,062
Borsod-Abaúj-Zemplén,05,25,05,063
Borsod-Abaúj-Zemplén,05,25,05,064
Borsod-Abaúj-Zemplén,05,25,05,065
Borsod-Abaúj-Zemplén,05,25,05,066
Borsod-Abaúj-Zemplén,05,25,05,067
Borsod-Abaúj-Zemplén,05,25,05,068
Borsod-Abaúj-Zemplén,05,25,05,069
Csongrád,06,26,06,070
Csongrád,06,26,06,071
Csongrád,06,26,06,072
Csongrád,06,26,06,073
Csongrád,06,26,06,074
Csongrád,06,26,06,075
Csongrád,06,26,06,076
Fejér,07,27,07,077
Fejér,07,27,07,078
Fejér,07,27,07,079
Fejér,07,27,07,080
Fejér,07,27,07,081
Fejér,07,27,07,082
Fejér,07,27,07,084
Fejér,07,27,07,085
Győr-Moson-Sopron,08,28,08,086
Győr-Moson-Sopron,08,28,08,087
Győr-Moson-Sopron,08,28,08,088
Győr-Moson-Sopron,08,28,08,089
Győr-Moson-Sopron,08,28,08,090
Győr-Moson-Sopron,08,28,08,091
Győr-Moson-Sopron,08,28,08,092
Hajdú-Bihar,09,29,09,093
Hajdú-Bihar,09,29,09,094
Hajdú-Bihar,09,29,09,095
Hajdú-Bihar,09,29,09,096
Hajdú-Bihar,09,29,09,097
Hajdú-Bihar,09,29,09,098
Hajdú-Bihar,09,29,09,099
Hajdú-Bihar,09,29,09,100
Hajdú-Bihar,09,29,09,101
Hajdú-Bihar,09,29,09,102
Heves,10,30,10,103
Heves,10,30,10,104
Heves,10,30,10,105
Heves,10,30,10,106
Heves,10,30,10,107
Heves,10,30,10,108
Heves,10,30,10,109
Komárom-Esztergom,11,31,11,110
Komárom-Esztergom,11,31,11,111
Komárom-Esztergom,11,31,11,112
Komárom-Esztergom,11,31,11,113
Komárom-Esztergom,11,31,11,114
Komárom-Esztergom,11,31,11,115
Nógrád,12,32,12,116
Nógrád,12,32,12,117
Nógrád,12,32,12,118
Nógrád,12,32,12,119
Nógrád,12,32,12,120
Nógrád,12,32,12,121
Pest,13,33,13,122
Pest,13,33,13,123
Pest,13,33,13,124
Pest,13,33,13,125
Pest,13,33,13,126
Pest,13,33,13,127
Pest,13,33,13,128
Pest,13,33,13,129
Pest,13,33,13,130
Pest,13,33,13,131
Pest,13,33,13,132
Pest,13,33,13,133
Pest,13,33,13,134
Pest,13,33,13,135
Pest,13,33,13,136
Pest,13,33,13,137
Pest,13,33,13,138
Pest,13,33,13,139
Somogy,14,34,14,140
Somogy,14,34,14,141
Somogy,14,34,14,142
Somogy,14,34,14,143
Somogy,14,34,14,144
Somogy,14,34,14,145
Somogy,14,34,14,146
Somogy,14,34,14,147
Szabolcs-Szatmár-Bereg,15,35,15,148
Szabolcs-Szatmár-Bereg,15,35,15,149
Szabolcs-Szatmár-Bereg,15,35,15,150
Szabolcs-Szatmár-Bereg,15,35,15,151
Szabolcs-Szatmár-Bereg,15,35,15,152
Szabolcs-Szatmár-Bereg,15,35,15,153
Szabolcs-Szatmár-Bereg,15,35,15,154
Szabolcs-Szatmár-Bereg,15,35,15,155
Szabolcs-Szatmár-Bereg,15,35,15,156
Szabolcs-Szatmár-Bereg,15,35,15,157
Szabolcs-Szatmár-Bereg,15,35,15,158
Szabolcs-Szatmár-Bereg,15,35,15,159
Szabolcs-Szatmár-Bereg,15,35,15,160
Jász-Nagykun-Szolnok,16,36,16,161
Jász-Nagykun-Szolnok,16,36,16,162
Jász-Nagykun-Szolnok,16,36,16,163
Jász-Nagykun-Szolnok,16,36,16,164
Jász-Nagykun-Szolnok,16,36,16,165
Jász-Nagykun-Szolnok,16,36,16,166
Jász-Nagykun-Szolnok,16,36,16,167
Jász-Nagykun-Szolnok,16,36,16,168
Jász-Nagykun-Szolnok,16,36,16,169
Tolna,17,37,17,170
Tolna,17,37,17,171
Tolna,17,37,17,172
Tolna,17,37,17,173
Tolna,17,37,17,174
Tolna,17,37,17,175
Vas,18,38,18,176
Vas,18,38,18,177
Vas,18,38,18,178
Vas,18,38,18,179
Vas,18,38,18,180
Vas,18,38,18,181
Vas,18,38,18,182
Veszprém,19,39,19,183
Veszprém,19,39,19,184
Veszprém,19,39,19,185
Veszprém,19,39,19,186
Veszprém,19,39,19,187
Veszprém,19,39,19,188
Veszprém,19,39,19,189
Veszprém,19,39,19,190
Veszprém,19,39,19,191
Veszprém,19,39,19,192
Zala,20,40,20,193
Zala,20,40,20,194
Zala,20,40,20,195
Zala,20,40,20,196
Zala,20,40,20,197
Zala,20,40,20,198
Kiemelt Adózók Adóigazgatósága,44,44,22,999
Kiemelt Ügyek Adóigazgatósága,51,51,22,999
